share_bonus,avg_delay_cost,max_delay_cost,future_wait_cost,total_wait_cost,route_cost,activation_cost,workload_cost,imbalance_cost,new_wait_viol_cost,new_ride_viol_cost,exist_wait_viol_cost,exist_ride_viol_cost
0.0,0.0,0.0,30.257623769138924,2.881678454203707,0.0,2.8,1.7156928753791705,2.4509898219702433,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.439517167317423,2.613287349268326,0.0,2.8,1.621755988651787,2.316794269502553,0.0,0.0,0.0,0.0
0.0,0.0,0.0,25.986099701253814,2.474866638214649,0.0,2.8,2.4077712801224305,1.5863593956769124,0.0,0.0,0.0,0.0
0.0,7.719432850250248,132.94578797653207,46.94254733664099,4.470718793965808,25.731442834167495,0.0,1.2973197031485917,1.853313861640845,0.0,0.0,0.0,1547.7204598968847
7.0,1.3657273199871969,23.520859399779503,46.94254733664099,4.470718793965808,4.552424399957323,0.0,3.106823494318562,4.438319277597945,0.0,0.0,0.0,0.0
7.0,0.0,0.0,63.307538548837314,6.029289385603554,0.0,0.0,3.6518192417085467,5.21688463101221,0.0,0.0,0.0,0.0
0.0,0.0,0.0,43.78718988188974,4.170208560179975,0.0,2.8,2.396447557490485,3.423496510700693,0.0,0.0,0.0,0.0
0.0,0.0,0.0,24.41934413915237,2.325651822776416,0.0,2.8,1.7508526993992395,2.5012181419989137,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37.591384184151195,3.5801318270620186,0.0,2.8,1.819182241998587,2.5988317742836955,0.0,0.0,0.0,0.0
0.0,0.0,0.0,26.35790242704659,2.5102764216234847,0.0,2.8,1.4447328500951,2.0639040715644286,0.0,0.0,0.0,0.0
0.0,0.0,0.0,35.790054974983896,3.4085766642841806,0.0,2.8,1.8668241812046855,0.7987407546510781,0.0,0.0,0.0,0.0
0.0,2.7483939974491145,47.33345217829031,46.03974926471465,4.384738025210919,9.161313324830383,0.0,1.3077056529489308,1.8681509327841868,0.0,0.0,0.0,74.26020874008742
7.0,2.1726766257636223,37.418319665929054,46.03974926471465,4.384738025210919,7.242255419212074,0.0,2.2089851390584228,3.1556930557977467,0.0,0.0,0.0,22.84190453149398
7.0,0.0,0.0,64.44090289318827,6.137228846970311,0.0,0.0,2.821852445144831,4.03121777877833,0.0,0.0,0.0,0.0
0.0,0.0,0.0,34.19311062948761,3.2564867266178683,0.0,2.8,2.243914354273367,3.2055919346762383,0.0,0.0,0.0,0.0
0.0,0.0,0.0,29.177933806707017,2.7788508387340016,0.0,2.8,2.0767417935140133,2.966773990734305,0.0,0.0,0.0,0.0
0.0,0.0,0.0,17.73425448423498,1.6889766175461887,0.0,2.8,1.7164666345569306,2.4520951922241867,0.0,0.0,0.0,0.0
0.0,0.0,0.0,14.274976312462968,1.3595215535679017,0.0,2.8,1.60115736216453,2.287367660235043,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.174559434665316,0.9690056604443158,0.0,2.8,1.1882715144960116,1.6975307349943023,0.0,0.0,0.0,0.0
0.0,18.330169430887512,157.8431256548647,42.18749516554424,4.017856682432785,30.55028238481252,0.0,0.0,0.0,0.0,0.0,0.0,3424.3562732998707
0.0,11.275008590782331,97.09035175395897,42.18749516554424,4.017856682432785,18.791680984637217,0.0,3.5968390988378705,5.138341569768386,0.0,15.830773083941597,0.0,1225.0557742862138
7.0,0.0,0.0,42.18749516554424,4.017856682432785,0.0,0.0,2.255369372191976,3.2219562459885367,0.0,0.0,0.0,0.0
0.0,6.3801622574932955,54.94028610619227,11.27548281300568,1.073855506000541,10.633603762488827,0.0,0.6030559627724552,0.8615085182463645,0.0,0.0,0.0,72.12493466900999
7.0,0.002591792656603502,0.022318214542974602,11.27548281300568,1.073855506000541,0.004319654427672503,0.0,1.059937683202565,1.5141966902893786,0.0,0.0,0.0,0.0
7.0,0.0,0.0,43.5588827481784,4.148465023636038,0.0,0.0,1.9378688689466232,2.7683840984951757,0.0,0.0,0.0,0.0
0.0,16.545477529731283,142.47494539490827,35.31622347694396,3.363449854947044,27.575795882885473,0.0,0.0,0.0,0.0,0.0,0.0,4979.987510041601
0.0,10.16790706489459,87.55697750325898,35.31622347694396,3.363449854947044,16.94651177482432,0.0,2.9369632000650157,3.3341531961322293,0.0,40.545633022570755,0.0,2431.521302373711
7.0,0.0,0.0,35.31622347694396,3.363449854947044,0.0,0.0,1.6631135599054752,1.5143679959043141,0.0,0.0,0.0,237.6972957251058
0.0,18.14251928846284,156.2272494284301,36.534030913615496,3.4794315155824282,60.47506429487613,0.0,0.45752710421565385,0.6536101488795055,0.0,0.0,0.0,5180.841246191638
0.0,20.00631528460294,236.61228844380375,36.534030913615496,3.4794315155824282,66.68771761534313,0.0,0.45752710421565385,0.6536101488795055,0.0,97.77389562703847,0.0,8857.891996982436
0.0,12.535074491860922,107.94091923546914,36.534030913615496,3.4794315155824282,41.78358163953641,0.0,4.8310309049834785,6.901472721404969,0.0,195.03480339140475,0.0,2074.499591707062
0.0,8.168727930842314,140.68364769783986,36.534030913615496,3.4794315155824282,27.229093102807713,0.0,0.45752710421565385,0.6536101488795055,0.0,0.0,0.0,2083.18028905642
0.0,5.754970560194957,99.11338187002427,36.534030913615496,3.4794315155824282,19.183235200649857,0.0,4.63169941608634,6.616713451551914,0.0,152.6372398252365,0.0,873.211607783028
7.0,0.0,0.0,51.7583056099493,4.929362439042791,0.0,0.0,2.6678214195289915,3.8111734564699873,0.0,0.0,0.0,0.0
0.0,0.0,0.0,46.34857022149165,4.4141495449039665,0.0,2.8,2.487496906580399,2.899956860521064,0.0,0.0,0.0,0.0
0.0,15.186242343245427,130.77042017794696,13.84624867817417,1.318690350302302,50.62080781081814,0.0,2.671835937919143,3.816908482741633,0.0,0.0,964.7210091939651,6982.67724230366
0.0,16.097861714318203,163.44326779440715,13.84624867817417,1.318690350302302,44.05071636858748,0.0,2.671835937919143,3.816908482741633,0.0,0.0,2773.0512368795144,7128.264564261594
0.0,7.44992130309228,64.15210010996152,13.84624867817417,1.318690350302302,24.833071010307652,0.0,2.671835937919143,3.816908482741633,0.0,2.13585614572116,0.0,2218.026456980372
0.0,7.44992130309228,64.15210010996152,13.84624867817417,1.318690350302302,24.833071010307652,0.0,2.671835937919143,3.816908482741633,0.0,2.13585614572116,0.0,2218.026456980372
0.0,7.44992130309228,64.15210010996152,13.84624867817417,1.318690350302302,24.833071010307652,0.0,5.173560633833398,7.390800905476283,0.0,309.37059183991,0.0,2218.026456980372
0.0,10.605347157897404,121.76509699808143,13.84624867817417,1.318690350302302,23.56743812866092,0.0,2.671835937919143,3.816908482741633,0.0,0.0,630.341202533134,3454.2541021444977
7.0,0.0,0.0,13.84624867817417,1.318690350302302,0.0,0.0,2.671835937919143,3.816908482741633,0.0,0.0,0.0,143.90397093214773
7.0,0.0,0.0,13.84624867817417,1.318690350302302,0.0,0.0,2.671835937919143,3.816908482741633,0.0,0.0,0.0,143.90397093214773
7.0,0.0,0.0,13.84624867817417,1.318690350302302,0.0,0.0,3.7249648248987914,5.321378321283987,0.0,34.60394566291108,0.0,143.90397093214773
7.0,0.0,0.0,13.84624867817417,1.318690350302302,0.0,0.0,2.671835937919143,3.816908482741633,0.0,0.0,0.0,143.90397093214773
7.0,0.0,0.0,13.84624867817417,1.318690350302302,0.0,0.0,2.671835937919143,3.816908482741633,0.0,0.0,0.0,143.90397093214773
7.0,0.0,0.0,13.84624867817417,1.318690350302302,0.0,0.0,3.7249648248987914,5.321378321283987,0.0,34.60394566291108,0.0,143.90397093214773
0.0,3.535115719299133,121.76509699808126,96.33228212848739,9.174503059855942,23.567438128660886,0.0,2.671835937919143,3.816908482741633,0.0,0.0,0.0,1379.7128203415095
0.0,3.1826164347753934,109.62345497559689,96.33228212848739,9.174503059855942,21.21744289850262,0.0,6.200333163057431,8.857618804367759,0.0,13.446266344163737,0.0,1060.048431015763
7.0,0.0,0.0,124.3723492343351,11.844985641365248,0.0,0.0,5.41349472392716,7.733563891324514,0.0,0.0,0.0,143.90397093214773
0.0,0.0,0.0,28.796104790065467,2.7424861704824255,0.0,2.8,2.227619909118172,0.0,0.0,0.0,0.0,0.0
0.0,17.298028339697876,148.95524403628727,41.87961613937532,3.9885348704166974,28.83004723282979,0.0,2.236197952196718,1.6879556691032804,0.0,0.0,10415.490415671307,10201.092190060668
0.0,15.762551982843577,148.01150047947783,41.87961613937532,3.9885348704166974,21.51798553506519,0.0,2.236197952196718,1.6879556691032804,0.0,56.518211717022616,10288.5332304701,7460.870900778394
0.0,14.785564915744924,159.60790979440364,41.87961613937532,3.9885348704166974,30.89185350859425,0.0,2.236197952196718,1.6879556691032804,0.0,247.748956192283,5941.459690397595,7612.239933071084
0.0,12.910791321039113,111.17625859783682,41.87961613937532,3.9885348704166974,21.51798553506519,0.0,5.969605030626141,7.021394352573885,0.0,656.428139754788,5941.459690397595,7460.870900778394
0.0,5.863913305903643,75.74221353458873,41.87961613937532,3.9885348704166974,0.0,0.0,2.236197952196718,1.6879556691032804,0.0,0.0,2878.9281634556346,1878.3869713347622
0.0,4.048785289798107,76.51263559150895,41.87961613937532,3.9885348704166974,9.373867973529059,0.0,2.236197952196718,1.6879556691032804,0.0,0.3327979975629426,490.49451836496905,1955.4521300392257
